HyLogger,Scan_Date,Dataset_file,6245_mean,6245_stddev,6698_mean,6698_stddev,8661_mean,8661_stddev,9353_mean,9353_stddev,9724_mean,9724_stddev,11028_mean,11028_stddev,11875_mean,11875_stddev,13228_mean,13228_stddev,samples
HyLogger 3-2,2021-07-30 15:42:12,C:\Lingbo\IanLau\runtsg\working\GSWATestRocks-July2021-2021_07_30-TestRockspm_1_tsgtray_tir,6246.93,0.754105,6698.66,0.71857,8654.41,0.358119,9346.85,0.198317,9723.9,0.655175,11013.9,0.426526,11871,1.07626,13176.8,44.1884,7
HyLogger 3-2,2021-06-01 15:43:05,C:\Lingbo\IanLau\runtsg\working\GSWATestRocks-June2021-2021_06_01-TestRockspm_1_tsgtray_tir,6246.93,0.470827,6698.72,0.904735,8654.46,1.56532,9346.79,1.00127,9723.96,0.918705,11013.8,0.806201,11871.9,1.42929,13185.7,37.7964,7
HyLogger 3-2,2021-06-03 15:37:10,C:\Lingbo\IanLau\runtsg\working\GSWATestRocks-June2021-2021_06_03-TestRockspm_1_tsgtray_tir,6247.04,0.512775,6698.74,0.686147,8654.51,0.91408,9346.81,0.763198,9723.95,1.58053,11013.7,1.36844,11872,1.7224,13200,0,7
HyLogger 3-2,2021-06-04 14:51:18,C:\Lingbo\IanLau\runtsg\working\GSWATestRocks-June2021-2021_06_04-TestRockspm_1_tsgtray_tir,6246.95,0.521781,6698.74,0.324083,8654.48,1.22701,9347.03,0.771012,9723.94,0.759811,11013.8,0.761695,11871.8,1.71136,13200,0,7
HyLogger 3-2,2021-06-10 15:44:39,C:\Lingbo\IanLau\runtsg\working\GSWATestRocks-June2021-2021_06_10-TestRockspm_1_tsgtray_tir,6246.95,0.91306,6698.72,0.892835,8654.51,0.466015,9347.04,1.11875,9724.09,0.676451,11013.8,1.31273,11871.6,1.17989,13168.8,48.5894,7
HyLogger 3-2,2021-06-11 15:42:05,C:\Lingbo\IanLau\runtsg\working\GSWATestRocks-June2021-2021_06_11-TestRockspm_1_tsgtray_tir,6246.99,1.00851,6698.74,0.593872,8654.48,0.867648,9347.31,0.567996,9723.96,0.36376,11013.9,0.482522,11871.4,0.307589,13173.2,50.2289,7
HyLogger 3-2,2021-06-14 15:22:41,C:\Lingbo\IanLau\runtsg\working\GSWATestRocks-June2021-2021_06_14-TestRockspm_1_tsgtray_tir,6246.98,0.588473,6698.73,0.564597,8654.5,0.949573,9347.28,1.34087,9723.95,0.886889,11013.7,0.793471,11871.8,1.04531,13200,0,7
HyLogger 3-2,2021-06-15 15:44:32,C:\Lingbo\IanLau\runtsg\working\GSWATestRocks-June2021-2021_06_15-TestRockspm_1_tsgtray_tir,6246.96,0.121701,6698.74,0.260029,8654.41,0.389127,9346.87,0.463636,9723.96,0.856678,11013.7,1.34781,11871.8,1.92596,13158.9,51.4068,7
HyLogger 3-2,2021-06-17 15:45:47,C:\Lingbo\IanLau\runtsg\working\GSWATestRocks-June2021-2021_06_17-TestRockspm_1_tsgtray_tir,6247.04,0.743354,6698.75,0.871925,8654.49,0.829452,9346.85,1.04726,9724.09,1.07225,11013.9,0.854899,11871.4,0.733752,13200,0,7
HyLogger 3-2,2021-06-18 15:16:25,C:\Lingbo\IanLau\runtsg\working\GSWATestRocks-June2021-2021_06_18-TestRockspm_1_tsgtray_tir,6246.94,0.84695,6698.73,0.390768,8654.44,0.688735,9347.07,0.806238,9723.97,0.309196,11013.7,0.71372,11871.3,0.935417,13201.8,4.79024,7
HyLogger 3-2,2021-06-21 15:46:30,C:\Lingbo\IanLau\runtsg\working\GSWATestRocks-June2021-2021_06_21-TestRockspm_1_tsgtray_tir,6246.91,0.622603,6698.66,0.57937,8654.52,1.08941,9346.99,0.510105,9723.95,1.03273,11013.9,1.34049,11871.3,1.1732,13187.5,33.0914,7
HyLogger 3-2,2021-06-22 15:33:31,C:\Lingbo\IanLau\runtsg\working\GSWATestRocks-June2021-2021_06_22-TestRockspm_1_tsgtray_tir,6246.89,0.59484,6698.74,0.757713,8654.61,0.420855,9346.91,0.31707,9723.98,0.990333,11013.8,0.568344,11871.2,0.474061,13160.7,49.201,7
HyLogger 3-2,2021-06-24 15:44:13,C:\Lingbo\IanLau\runtsg\working\GSWATestRocks-June2021-2021_06_24-TestRockspm_1_tsgtray_tir,6246.9,0.699975,6698.69,0.193905,8654.52,0.503652,9346.91,0.44825,9723.94,1.12484,11013.6,1.44824,11871.4,1.51858,13132.1,46.7188,7
HyLogger 3-2,2021-06-25 14:41:29,C:\Lingbo\IanLau\runtsg\working\GSWATestRocks-June2021-2021_06_25-TestRockspm_1_tsgtray_tir,6246.9,0.554449,6698.75,0.899512,8654.49,0.93902,9346.84,0.584932,9723.94,0.672132,11013.8,1.16234,11871.2,0.870887,13146.4,50.8965,7
HyLogger 3-2,2021-06-28 15:41:14,C:\Lingbo\IanLau\runtsg\working\GSWATestRocks-June2021-2021_06_28-TestRockspm_1_tsgtray_tir,6246.94,0.3923,6698.64,0.71437,8654.41,0.789563,9346.84,0.662787,9724.01,0.773964,11013.9,0.944593,11872.1,0.991608,13152.1,57.2433,7
HyLogger 3-5,2021-03-26 09:06:46,C:\Lingbo\IanLau\runtsg\working\TestRocks_1_tsgtray_tir,6249.73,1.0084,6701.13,1.05901,8657,1.32195,9350.02,0.989982,9727.54,1.12699,11018.5,0.817401,11873.5,1.60634,13215,5.89491,5
HyLogger 3-4,2021-09-06 08:06:26,C:\Lingbo\IanLau\runtsg\working\Testrocks_20210906_am-Testrocks_20210906_am_1_tsgtray_tir,6248.73,0.660563,6700.59,0.434652,8655,1.0178,9349.7,1.15843,9726.59,0.104654,11010.1,0.898425,11868.6,4.74998,13206.8,6.69803,11
