HyLogger,Scan_Date,Dataset_file,Mylar_1128.7,Mylar_1659.9,Mylar_1904.6,Mylar_2130.8,Mylar_2255.3,Mylar_2331.0,Mylar_2444.5,Pyro_ 951.0,Pyro_1235.0,Pyro_1394.0,Pyro_2082.0,Pyro_2168.0,Pyro_2322.0,Kaolin_1414.0,Kaolin_1913.0,Kaolin_2209.0,Talc_ 729.0,Talc_ 950.0,Talc_1279.0,Talc_1393.0,Talc_1532.0,Talc_2013.0,Talc_2132.0,Talc_2230.0,Talc_2313.0,Talc_2391.0,Talc_2467.0
HyLogger 3-2,2021-08-03 15:43:52,C:\Lingbo\IanLau\runtsg\working\GSWATestRocks-August2021-2021_08_03-TestRockspm_1_tsgtray,1129.8,1659.9,1907.1,2131.2,2255.7,2331.6,2444.5, 967.5,   0.0,   0.0,   0.0,2156.8,   0.0,1414.5,1916.3,2207.4,   0.0, 950.7,1276.4,1392.2,1531.9,2011.9,2132.5,2229.3,   0.0,2387.2,2466.8
HyLogger 3-2,2021-08-03 08:01:17,C:\Lingbo\IanLau\runtsg\working\GSWATestRocks-August2021-2021_08_03-TestRocks_1_tsgtray,1130.2,1659.9,1907.1,2131.2,2255.8,2331.6,2444.5,   0.0,   0.0,   0.0,   0.0,2156.8,   0.0,1414.6,1915.6,2207.4,   0.0,   0.0,1276.4,1392.2,1531.9,2011.9,2132.3,2229.3,   0.0,2387.7,2466.8
HyLogger 3-2,2021-08-05 15:27:15,C:\Lingbo\IanLau\runtsg\working\GSWATestRocks-August2021-2021_08_05-TestRockspm_1_tsgtray,1130.2,1659.9,1907.1,2131.2,2255.7,2331.8,2444.5,   0.0,1235.3,   0.0,   0.0,2156.9,   0.0,1414.5,1916.3,2207.4,   0.0,   0.0,1276.4,1392.2,1532.0,2011.9,2132.6,2229.4,   0.0,2388.5,2466.8
HyLogger 3-2,2021-08-05 08:00:36,C:\Lingbo\IanLau\runtsg\working\GSWATestRocks-August2021-2021_08_05-TestRocks_1_tsgtray,1130.6,1659.9,1907.1,2131.2,2255.7,2331.6,2444.5,   0.0,   0.0,   0.0,   0.0,2156.3,   0.0,1414.5,1915.7,2207.4,   0.0,   0.0,1276.4,1392.2,1532.0,2011.9,2132.4,2229.3,   0.0,2388.2,2467.7
HyLogger 3-2,2021-08-06 15:38:01,C:\Lingbo\IanLau\runtsg\working\GSWATestRocks-August2021-2021_08_06-TestRockspm_1_tsgtray,1130.5,1659.9,1907.0,2131.2,2255.8,2331.7,2444.5,   0.0,1217.5,   0.0,   0.0,2157.5,   0.0,1414.5,1915.4,2207.4,   0.0, 950.7,1276.4,1392.2,1531.9,2012.0,2132.3,2229.4,   0.0,2387.9,2466.8
HyLogger 3-2,2021-08-06 08:03:51,C:\Lingbo\IanLau\runtsg\working\GSWATestRocks-August2021-2021_08_06-TestRocks_1_tsgtray,1130.5,1659.9,1907.1,2131.2,2255.8,2331.6,2444.5,   0.0,1219.5,   0.0,   0.0,2157.7,   0.0,1414.6,1915.0,2207.7,   0.0,   0.0,1276.4,1392.2,1531.9,2011.9,2132.7,2229.3,   0.0,2387.4,2466.8
HyLogger 3-2,2021-08-09 15:40:57,C:\Lingbo\IanLau\runtsg\working\GSWATestRocks-August2021-2021_08_09-TestRockspm_1_tsgtray,   0.0,1659.9,1907.1,2131.2,2255.8,2331.7,2444.5,   0.0,1247.3,   0.0,   0.0,2156.7,   0.0,1414.5,1915.8,2207.4,   0.0, 950.7,1276.4,1392.2,1531.9,2011.9,2132.6,2229.4,   0.0,2387.3,2466.8
HyLogger 3-2,2021-08-09 08:05:55,C:\Lingbo\IanLau\runtsg\working\GSWATestRocks-August2021-2021_08_09-TestRocks_1_tsgtray,   0.0,1659.9,1907.1,2131.2,2255.7,2331.7,2444.5,   0.0,1248.3,   0.0,   0.0,2156.9,   0.0,1414.6,1914.4,2207.7,   0.0,   0.0,1276.4,1392.2,1532.0,2011.9,2132.6,2229.3,   0.0,2388.6,2466.8
HyLogger 3-2,2021-08-10 15:31:15,C:\Lingbo\IanLau\runtsg\working\GSWATestRocks-August2021-2021_08_10-TestRockspm_1_tsgtray,1130.4,1659.9,1907.1,2131.2,2255.7,2331.6,2444.5,   0.0,1217.8,   0.0,   0.0,2156.7,   0.0,1414.6,1915.2,2207.4,   0.0,   0.0,1276.4,1392.2,1531.9,2012.0,2132.6,2229.4,   0.0,2387.9,2466.8
HyLogger 3-2,2021-08-10 07:54:43,C:\Lingbo\IanLau\runtsg\working\GSWATestRocks-August2021-2021_08_10-TestRocks_1_tsgtray,1130.6,1659.9,1907.1,2131.2,2255.6,2331.6,2444.5,   0.0,   0.0,   0.0,   0.0,2156.8,   0.0,1414.5,1916.1,2207.4,   0.0,   0.0,1276.4,1392.2,1531.9,2011.9,2132.3,2229.3,   0.0,2387.6,2466.8
HyLogger 3-2,2021-08-12 15:39:54,C:\Lingbo\IanLau\runtsg\working\GSWATestRocks-August2021-2021_08_12-TestRockspm_1_tsgtray,   0.0,1659.9,1907.1,2131.2,2255.9,2331.4,2444.5,   0.0,1235.1,   0.0,   0.0,2156.8,   0.0,1414.7,1914.7,2207.9,   0.0, 950.6,1276.4,1392.2,1531.9,2011.9,2132.5,2229.3,   0.0,2387.1,2466.8
HyLogger 3-2,2021-08-12 08:05:46,C:\Lingbo\IanLau\runtsg\working\GSWATestRocks-August2021-2021_08_12-TestRocks_1_tsgtray,1130.5,1659.9,1907.1,2131.2,2255.9,2331.6,2444.5,   0.0,1235.3,   0.0,   0.0,2156.9,   0.0,1414.6,1916.1,2207.4,   0.0, 950.5,1276.4,1392.2,1531.9,2011.9,2132.5,2229.3,   0.0,2388.3,2466.8
HyLogger 3-2,2021-08-13 14:55:33,C:\Lingbo\IanLau\runtsg\working\GSWATestRocks-August2021-2021_08_13-TestRockspm_1_tsgtray,1131.0,1660.0,1907.4,2131.2,2255.8,2331.5,2444.5,   0.0,   0.0,   0.0,   0.0,2156.0,   0.0,1414.5,1915.8,2207.7,   0.0,   0.0,1276.4,1392.2,1531.9,2011.9,2132.5,2229.3,   0.0,2387.9,2466.8
HyLogger 3-2,2021-08-13 15:48:20,C:\Lingbo\IanLau\runtsg\working\GSWATestRocks-August2021-2021_08_13-TestRockspm_2_tsgtray,1130.7,1659.9,1907.1,2131.2,2255.7,2331.6,2444.5,   0.0,1227.6,   0.0,   0.0,2156.8,   0.0,1414.5,1915.3,2207.4,   0.0, 950.5,1276.4,1392.2,1531.9,2012.0,2132.4,2229.4,   0.0,2388.5,2466.8
HyLogger 3-2,2021-08-13 08:00:40,C:\Lingbo\IanLau\runtsg\working\GSWATestRocks-August2021-2021_08_13-TestRocks_1_tsgtray,1130.6,1659.9,1907.2,2131.2,2255.7,2331.6,2444.5,   0.0,   0.0,   0.0,   0.0,2156.9,   0.0,1414.6,1909.2,2207.8,   0.0,   0.0,1276.4,1392.2,1531.9,2011.9,2132.4,2229.3,   0.0,2387.5,2466.8
HyLogger 3-2,2021-08-16 15:37:50,C:\Lingbo\IanLau\runtsg\working\GSWATestRocks-August2021-2021_08_16-TestRockspm_1_tsgtray,1130.6,1659.9,1907.1,2131.2,2255.7,2331.7,2444.5,   0.0,1229.3,   0.0,   0.0,2156.9,   0.0,1414.5,1916.3,2207.4,   0.0, 950.9,1276.4,1392.2,1532.0,2012.0,2132.5,2229.4,   0.0,2387.7,2467.8
HyLogger 3-2,2021-08-16 08:03:34,C:\Lingbo\IanLau\runtsg\working\GSWATestRocks-August2021-2021_08_16-TestRocks_1_tsgtray,1130.6,1659.9,1907.0,2131.2,2255.6,2331.7,2444.5,   0.0,   0.0,   0.0,   0.0,2156.8,   0.0,1414.5,1914.0,2207.4,   0.0,   0.0,1276.4,1392.2,1531.9,2011.9,2132.6,2229.3,   0.0,2387.0,2466.8
HyLogger 3-2,2021-08-17 15:28:14,C:\Lingbo\IanLau\runtsg\working\GSWATestRocks-August2021-2021_08_17-TestRockspm_1_tsgtray,1130.7,1659.9,1907.0,2131.2,2255.5,2331.6,2444.5,   0.0,   0.0,   0.0,   0.0,2157.2,   0.0,1414.5,1915.0,2207.4,   0.0,   0.0,1276.4,1392.2,1531.9,2012.0,2132.8,2229.4,   0.0,2388.1,2466.8
HyLogger 3-2,2021-08-17 08:20:44,C:\Lingbo\IanLau\runtsg\working\GSWATestRocks-August2021-2021_08_17-TestRocks_1_tsgtray,1130.6,1659.9,1907.0,2131.2,2255.7,2331.6,2444.6,   0.0,1216.5,   0.0,   0.0,2156.9,   0.0,1414.5,1914.4,2207.4,   0.0, 950.7,1276.4,1392.2,1531.9,2012.0,2132.6,2229.4,   0.0,2387.6,2466.8
HyLogger 3-2,2021-08-19 15:41:05,C:\Lingbo\IanLau\runtsg\working\GSWATestRocks-August2021-2021_08_19-TestRockspm_1_tsgtray,1130.6,1659.9,1907.1,2131.2,2255.6,2331.7,2444.5, 966.6,1217.5,   0.0,   0.0,2157.6,   0.0,1414.6,1915.5,2207.4,   0.0,   0.0,1276.4,1392.2,1531.9,2012.0,2132.6,2229.3,   0.0,2388.0,2466.8
HyLogger 3-2,2021-08-19 08:01:31,C:\Lingbo\IanLau\runtsg\working\GSWATestRocks-August2021-2021_08_19-TestRocks_1_tsgtray,1130.7,1659.9,1907.1,2131.2,2255.9,2331.6,2444.5,   0.0,   0.0,   0.0,   0.0,2157.4,   0.0,1414.6,1914.7,2207.3,   0.0,   0.0,   0.0,1392.2,1532.0,2012.0,2132.3,2229.3,   0.0,2387.3,2467.8
HyLogger 3-2,2021-08-20 15:45:26,C:\Lingbo\IanLau\runtsg\working\GSWATestRocks-August2021-2021_08_20-TestRockspm_1_tsgtray,1130.1,1659.9,1907.1,2131.2,2255.6,2331.6,2444.5,   0.0,1234.6,   0.0,   0.0,2157.0,   0.0,1414.5,1916.1,2207.4,   0.0,   0.0,1276.4,1392.2,1531.9,2012.0,2132.5,2229.3,   0.0,2387.6,2466.8
